FlightDate,UniqueCarrier,Carrier,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,ArrTime,ArrDelay,ArrDelayMinutes,ArrivalDelayGroups,Cancelled,ActualElapsedTime,AirTime,Distance
1/29/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1054,-6,0,0,-1,1348,18,18,1,0,234,182,1192
1/30/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1055,-5,0,0,-1,1307,-23,0,-2,0,192,172,1192
1/31/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1053,-7,0,0,-1,1316,-14,0,-1,0,203,186,1192
1/2/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,626,-4,0,0,-1,1005,-10,0,-1,0,159,130,1192
1/3/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,646,16,16,1,1,1029,14,14,0,0,163,145,1192
1/5/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,639,9,9,0,0,1006,-9,0,-1,0,147,131,1192
1/6/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,623,-7,0,0,-1,959,-16,0,-2,0,156,124,1192
1/7/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,625,-5,0,0,-1,1002,-13,0,-1,0,157,141,1192
1/8/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,627,-3,0,0,-1,1000,-15,0,-1,0,153,138,1192
1/9/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,628,-2,0,0,-1,1003,-12,0,-1,0,155,132,1192
1/10/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,623,-7,0,0,-1,955,-20,0,-2,0,152,136,1192
1/12/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,643,13,13,0,0,1028,13,13,0,0,165,149,1192
1/13/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,626,-4,0,0,-1,1004,-11,0,-1,0,158,128,1192
1/14/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,623,-7,0,0,-1,956,-19,0,-2,0,153,136,1192
1/15/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,,,,,,,,,,1,,,1192
1/16/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,620,-10,0,0,-1,1012,-3,0,-1,0,172,142,1192
1/17/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,635,5,5,0,0,1010,-5,0,-1,0,155,137,1192
1/19/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,621,-9,0,0,-1,1011,-4,0,-1,0,170,154,1192
1/20/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,624,-6,0,0,-1,959,-16,0,-2,0,155,142,1192
1/21/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,629,-1,0,0,-1,1000,-15,0,-1,0,151,136,1192
1/22/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,623,-7,0,0,-1,1001,-14,0,-1,0,158,141,1192
1/23/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,625,-5,0,0,-1,1003,-12,0,-1,0,158,136,1192
1/24/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,626,-4,0,0,-1,1007,-8,0,-1,0,161,144,1192
1/26/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,622,-8,0,0,-1,1004,-11,0,-1,0,162,143,1192
1/27/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,628,-2,0,0,-1,957,-18,0,-2,0,149,129,1192
1/28/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,649,19,19,1,1,1009,-6,0,-1,0,140,122,1192
1/29/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,622,-8,0,0,-1,955,-20,0,-2,0,153,135,1192
1/30/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,639,9,9,0,0,1014,-1,0,-1,0,155,139,1192
1/31/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,DCA,"Washington, DC",VA,620,-10,0,0,-1,952,-23,0,-2,0,152,132,1192
1/1/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,2146,131,131,1,8,36,136,136,9,0,110,82,646
1/2/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,2102,87,87,1,5,2347,87,87,5,0,105,81,646
1/3/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,2054,79,79,1,5,2354,94,94,6,0,120,88,646
1/5/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,2106,91,91,1,6,2355,95,95,6,0,109,87,646
1/6/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,,,,,,,,,,1,,,646
1/8/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1944,9,9,0,0,2223,3,3,0,0,99,83,646
1/9/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1942,7,7,0,0,2229,9,9,0,0,107,87,646
1/10/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1935,0,0,0,0,2239,19,19,1,0,124,91,646
1/12/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1933,-2,0,0,-1,2214,-6,0,-1,0,101,85,646
1/13/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1928,-7,0,0,-1,2221,1,1,0,0,113,94,646
1/14/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1942,7,7,0,0,2222,2,2,0,0,100,88,646
1/15/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1928,-7,0,0,-1,2210,-10,0,-1,0,102,88,646
1/16/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1938,3,3,0,0,2225,5,5,0,0,107,90,646
1/17/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,2001,26,26,1,1,2250,30,30,2,0,109,93,646
1/19/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1932,-3,0,0,-1,2219,-1,0,-1,0,107,84,646
1/20/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,2025,50,50,1,3,2308,48,48,3,0,103,85,646
1/21/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1930,-5,0,0,-1,2212,-8,0,-1,0,102,88,646
1/22/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1937,2,2,0,0,2212,-8,0,-1,0,95,77,646
1/23/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1937,2,2,0,0,2215,-5,0,-1,0,98,85,646
1/24/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,,,,,,,,,,1,,,646
1/26/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,2002,27,27,1,1,2244,24,24,1,0,102,84,646
1/27/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1934,-1,0,0,-1,2208,-12,0,-1,0,94,81,646
1/28/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,,,,,,,,,,1,,,646
1/29/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1925,-10,0,0,-1,2204,-16,0,-2,0,99,84,646
1/30/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,2024,49,49,1,3,2311,51,51,3,0,107,88,646
1/31/2014,AA,AA,ORD,"Chicago, IL",IL,RDU,"Raleigh/Durham, NC",NC,1959,24,24,1,1,2238,18,18,1,0,99,86,646
1/1/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1434,34,34,1,2,1714,29,29,1,0,100,72,592
1/2/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1359,-1,0,0,-1,1642,-3,0,-1,0,103,76,592
1/3/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1412,12,12,0,0,1652,7,7,0,0,100,77,592
1/4/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1421,21,21,1,1,1738,53,53,3,0,137,74,592
1/5/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1355,-5,0,0,-1,1627,-18,0,-2,0,92,72,592
1/6/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1550,110,110,1,7,1828,103,103,6,0,98,74,592
1/7/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1652,172,172,1,11,1931,166,166,11,0,99,75,592
1/8/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1409,9,9,0,0,1707,22,22,1,0,118,82,592
1/9/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1359,-1,0,0,-1,1637,-8,0,-1,0,98,77,592
1/10/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1510,70,70,1,4,1807,82,82,5,0,117,74,592
1/11/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1405,5,5,0,0,1647,2,2,0,0,102,75,592
1/12/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1357,-3,0,0,-1,1650,5,5,0,0,113,85,592
1/13/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1357,-3,0,0,-1,1635,-10,0,-1,0,98,73,592
1/14/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1355,-5,0,0,-1,1634,-11,0,-1,0,99,78,592
1/15/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1357,-3,0,0,-1,1638,-7,0,-1,0,101,83,592
1/16/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1414,14,14,0,0,1658,13,13,0,0,104,79,592
1/17/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1434,34,34,1,2,1708,23,23,1,0,94,78,592
1/18/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1551,111,111,1,7,1838,113,113,7,0,107,79,592
1/19/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1355,-5,0,0,-1,1630,-15,0,-1,0,95,73,592
1/20/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1356,-4,0,0,-1,1640,-5,0,-1,0,104,74,592
1/21/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1350,-10,0,0,-1,1622,-23,0,-2,0,92,77,592
1/22/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1439,39,39,1,2,1716,31,31,2,0,97,78,592
1/23/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1427,27,27,1,1,1724,39,39,2,0,117,78,592
1/24/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1403,3,3,0,0,1640,-5,0,-1,0,97,74,592
1/25/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1345,-15,0,0,-1,1626,-19,0,-2,0,101,76,592
1/26/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1413,13,13,0,0,1648,3,3,0,0,95,72,592
1/27/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1638,158,158,1,10,1938,173,173,11,0,120,75,592
1/28/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1402,2,2,0,0,1635,-10,0,-1,0,93,73,592
1/29/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1454,54,54,1,3,1728,43,43,2,0,94,70,592
1/30/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1440,40,40,1,2,1723,38,38,2,0,103,71,592
1/31/2014,AA,AA,COS,"Colorado Springs, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,,,,,,,,,,1,,,592
1/1/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1223,-2,0,0,-1,1317,-3,0,-1,0,114,92,592
1/2/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1221,-4,0,0,-1,1319,-1,0,-1,0,118,93,592
1/3/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1244,19,19,1,1,1338,18,18,1,0,114,92,592
1/4/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1222,-3,0,0,-1,1324,4,4,0,0,122,91,592
1/5/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1223,-2,0,0,-1,1314,-6,0,-1,0,111,94,592
1/6/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1415,110,110,1,7,1510,110,110,7,0,115,96,592
1/7/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1517,172,172,1,11,1604,164,164,10,0,107,87,592
1/8/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1240,15,15,1,1,1330,10,10,0,0,110,91,592
1/9/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1233,8,8,0,0,1324,4,4,0,0,111,90,592
1/10/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1335,70,70,1,4,1431,71,71,4,0,116,91,592
1/11/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1223,-2,0,0,-1,1329,9,9,0,0,126,96,592
1/12/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1221,-4,0,0,-1,1312,-8,0,-1,0,111,84,592
1/13/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1225,0,0,0,0,1315,-5,0,-1,0,110,92,592
1/14/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1220,-5,0,0,-1,1318,-2,0,-1,0,118,95,592
1/15/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1224,-1,0,0,-1,1318,-2,0,-1,0,114,91,592
1/16/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1223,-2,0,0,-1,1323,3,3,0,0,120,99,592
1/17/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1225,0,0,0,0,1317,-3,0,-1,0,112,93,592
1/18/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1411,106,106,1,7,1501,101,101,6,0,110,86,592
1/19/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1219,-6,0,0,-1,1304,-16,0,-2,0,105,88,592
1/20/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1219,-6,0,0,-1,1312,-8,0,-1,0,113,90,592
1/21/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1219,-6,0,0,-1,1310,-10,0,-1,0,111,88,592
1/22/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1321,56,56,1,3,1410,50,50,3,0,109,89,592
1/23/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1300,35,35,1,2,1353,33,33,2,0,113,90,592
1/24/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1218,-7,0,0,-1,1327,7,7,0,0,129,88,592
1/25/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1222,-3,0,0,-1,1308,-12,0,-1,0,106,86,592
1/26/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1246,21,21,1,1,1334,14,14,0,0,108,90,592
1/27/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1456,151,151,1,10,1557,157,157,10,0,121,97,592
1/28/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1241,16,16,1,1,1336,16,16,1,0,115,98,592
1/29/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1328,63,63,1,4,1425,65,65,4,0,117,97,592
1/30/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1235,10,10,0,0,1354,34,34,2,0,139,114,592
1/31/2014,AA,AA,DFW,"Dallas/Fort Worth, TX",TX,COS,"Colorado Springs, CO",CO,1219,-6,0,0,-1,,,,,1,,,592
1/1/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1557,-3,0,0,-1,1830,0,0,0,0,213,181,1192
1/2/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1606,6,6,0,0,1847,17,17,1,0,221,188,1192
1/3/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1636,36,36,1,2,1847,17,17,1,0,191,176,1192
1/4/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1634,34,34,1,2,1857,27,27,1,0,203,175,1192
1/5/2014,AA,AA,DCA,"Washington, DC",VA,DFW,"Dallas/Fort Worth, TX",TX,1606,6,6,0,0,1841,11,11,0,0,215,198,1192
